,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
0,49243,Wired Headphones,1,"[11.99, 26]",NA,NA
1,49244,Bose SoundSport Headphones,1,"[99.99, 19]",NA,NA
2,49245,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
3,49246,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
4,49247,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
5,49248,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
6,49249,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
7,49250,Vareebadd Phone,1,"[400, 3]",NA,NA
8,49251,Bose SoundSport Headphones,1,"[99.99, 19]",NA,NA
9,49252,Apple Airpods Headphones,1,"[150, 22]",NA,NA
10,49253,Wired Headphones,1,"[11.99, 26]",NA,NA
11,49254,Wired Headphones,1,"[11.99, 26]",NA,NA
12,49255,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
13,49256,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
14,49257,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
15,49258,Apple Airpods Headphones,1,"[150, 22]",NA,NA
16,49259,34in Ultrawide Monitor,1,"[379.99, 9]",NA,NA
17,49260,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
18,49261,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
19,49262,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
20,49263,Google Phone,1,"[600, 8]",NA,NA
21,49264,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
22,49265,iPhone,1,"[700, 10]",NA,NA
23,49266,Google Phone,1,"[600, 8]",NA,NA
24,49267,Bose SoundSport Headphones,1,"[99.99, 19]",NA,NA
25,49268,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
26,49269,Apple Airpods Headphones,1,"[150, 22]",NA,NA
27,49270,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
28,49271,27in FHD Monitor,1,"[149.99, 11]",NA,NA
29,49272,27in FHD Monitor,1,"[149.99, 11]",NA,NA
30,49273,ThinkPad Laptop,1,"[999.99, 6]",NA,NA
31,49274,Macbook Pro Laptop,1,"[1700, 7]",NA,NA
32,49275,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
33,49276,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
34,49277,Bose SoundSport Headphones,1,"[99.99, 19]",NA,NA
35,49278,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
36,49279,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
37,49280,iPhone,1,"[700, 10]",NA,NA
38,49281,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
39,49282,Apple Airpods Headphones,1,"[150, 22]",NA,NA
40,49283,Bose SoundSport Headphones,1,"[99.99, 19]",NA,NA
41,49284,Apple Airpods Headphones,1,"[150, 22]",NA,NA
42,49285,Macbook Pro Laptop,1,"[1700, 7]",NA,NA
43,49286,Macbook Pro Laptop,1,"[1700, 7]",NA,NA
44,49287,Bose SoundSport Headphones,1,"[99.99, 19]",NA,NA
45,49288,Wired Headphones,1,"[11.99, 26]",NA,NA
46,49289,20in Monitor,1,"[109.99, 6]",NA,NA
47,49290,27in FHD Monitor,1,"[149.99, 11]",NA,NA
48,49291,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
49,49292,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
50,49293,Bose SoundSport Headphones,1,"[99.99, 19]",NA,NA
51,49294,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
52,49295,LG Dryer,1,"[600.0, 1]",NA,NA
53,49296,Google Phone,1,"[600, 8]",NA,NA
54,49297,Vareebadd Phone,1,"[400, 3]",NA,NA
55,49298,iPhone,1,"[700, 10]",NA,NA
56,49299,Apple Airpods Headphones,1,"[150, 22]",NA,NA
57,49300,Google Phone,1,"[600, 8]",NA,NA
58,49301,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
59,49302,Wired Headphones,1,"[11.99, 26]",NA,NA
60,49303,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
61,49304,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
62,49305,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
63,49306,Flatscreen TV,1,"[300, 7]",NA,NA
64,49307,Flatscreen TV,1,"[300, 7]",NA,NA
65,49308,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
66,49309,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
67,49310,Google Phone,1,"[600, 8]",NA,NA
68,49311,27in 4K Gaming Monitor,1,"[389.99, 9]",NA,NA
69,49312,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
70,49313,Wired Headphones,1,"[11.99, 26]",NA,NA
71,49314,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
72,49315,iPhone,1,"[700, 10]",NA,NA
73,49316,34in Ultrawide Monitor,1,"[379.99, 9]",NA,NA
74,49317,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
75,49318,Google Phone,1,"[600, 8]",NA,NA
76,49319,27in FHD Monitor,1,"[149.99, 11]",NA,NA
77,49320,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
78,49321,34in Ultrawide Monitor,1,"[379.99, 9]",NA,NA
79,49322,20in Monitor,1,"[109.99, 6]",NA,NA
80,49323,20in Monitor,1,"[109.99, 6]",NA,NA
81,49324,Macbook Pro Laptop,1,"[1700, 7]",NA,NA
82,49325,ThinkPad Laptop,1,"[999.99, 6]",NA,NA
83,49326,27in FHD Monitor,1,"[149.99, 11]",NA,NA
84,49327,iPhone,1,"[700, 10]",NA,NA
85,49328,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
86,49329,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
87,49330,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
88,49331,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
89,49332,Bose SoundSport Headphones,1,"[99.99, 19]",NA,NA
90,49333,Google Phone,1,"[600, 8]",NA,NA
91,49334,Google Phone,1,"[600, 8]",NA,NA
92,49335,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
93,49336,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
94,49337,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
95,49338,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
96,49339,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
97,49340,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
98,49341,Wired Headphones,1,"[11.99, 26]",NA,NA
99,49342,27in FHD Monitor,1,"[149.99, 11]",NA,NA
100,49343,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
101,49344,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
102,49345,Bose SoundSport Headphones,1,"[99.99, 19]",NA,NA
103,49346,Apple Airpods Headphones,1,"[150, 22]",NA,NA
104,49347,Wired Headphones,1,"[11.99, 26]",NA,NA
105,49348,27in 4K Gaming Monitor,1,"[389.99, 9]",NA,NA
106,49349,27in FHD Monitor,1,"[149.99, 11]",NA,NA
107,49350,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
108,49351,Bose SoundSport Headphones,1,"[99.99, 19]",NA,NA
109,49352,Wired Headphones,1,"[11.99, 26]",NA,NA
110,49353,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
111,49354,iPhone,1,"[700, 10]",NA,NA
112,49355,Bose SoundSport Headphones,1,"[99.99, 19]",NA,NA
113,49356,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
114,49357,Wired Headphones,1,"[11.99, 26]",NA,NA
115,49358,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
116,49359,Wired Headphones,1,"[11.99, 26]",NA,NA
117,49360,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
118,49361,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
119,49362,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
120,49363,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
121,49364,Bose SoundSport Headphones,1,"[99.99, 19]",NA,NA
122,49365,Google Phone,1,"[600, 8]",NA,NA
123,49366,Wired Headphones,1,"[11.99, 26]",NA,NA
124,49367,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
125,49368,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
126,49369,Google Phone,1,"[600, 8]",NA,NA
127,49370,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
128,49371,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
129,49372,Wired Headphones,1,"[11.99, 26]",NA,NA
130,49373,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
131,49374,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
132,49375,34in Ultrawide Monitor,1,"[379.99, 9]",NA,NA
133,49376,Apple Airpods Headphones,1,"[150, 22]",NA,NA
134,49377,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
135,49378,Apple Airpods Headphones,1,"[150, 22]",NA,NA
136,49379,27in FHD Monitor,1,"[149.99, 11]",NA,NA
137,49380,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
138,49381,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
139,49382,27in 4K Gaming Monitor,1,"[389.99, 9]",NA,NA
140,49383,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
141,49384,Bose SoundSport Headphones,1,"[99.99, 19]",NA,NA
142,49385,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
143,49386,Google Phone,1,"[600, 8]",NA,NA
144,49387,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
145,49388,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
146,49389,Vareebadd Phone,1,"[400, 3]",NA,NA
147,49390,Wired Headphones,1,"[11.99, 26]",NA,NA
148,49391,Bose SoundSport Headphones,1,"[99.99, 19]",NA,NA
149,49392,Wired Headphones,1,"[11.99, 26]",NA,NA
150,49393,34in Ultrawide Monitor,1,"[379.99, 9]",NA,NA
151,49394,27in FHD Monitor,1,"[149.99, 11]",NA,NA
152,49395,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
153,49396,iPhone,1,"[700, 10]",NA,NA
154,49397,Wired Headphones,1,"[11.99, 26]",NA,NA
155,49398,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
156,49399,Apple Airpods Headphones,1,"[150, 22]",NA,NA
157,49400,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
158,49401,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
159,49402,Apple Airpods Headphones,1,"[150, 22]",NA,NA
160,49403,Wired Headphones,1,"[11.99, 26]",NA,NA
161,49404,ThinkPad Laptop,1,"[999.99, 6]",NA,NA
162,49405,iPhone,1,"[700, 10]",NA,NA
163,49406,Wired Headphones,1,"[11.99, 26]",NA,NA
164,49407,Bose SoundSport Headphones,1,"[99.99, 19]",NA,NA
165,49408,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
166,49409,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
167,49410,34in Ultrawide Monitor,1,"[379.99, 9]",NA,NA
168,49411,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
169,49412,Macbook Pro Laptop,1,"[1700, 7]",NA,NA
170,49413,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
171,49414,ThinkPad Laptop,1,"[999.99, 6]",NA,NA
172,49415,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
173,49416,Flatscreen TV,1,"[300, 7]",NA,NA
174,49417,Wired Headphones,1,"[11.99, 26]",NA,NA
175,49418,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
