,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
0,101518,Apple Airpods Headphones,1,"[150, 22]",NA,NA
1,101519,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
2,101520,Wired Headphones,1,"[11.99, 26]",NA,NA
3,101521,Apple Airpods Headphones,1,"[150, 22]",NA,NA
4,101522,20in Monitor,1,"[109.99, 6]",NA,NA
5,101523,Bose SoundSport Headphones,1,"[99.99, 19]",NA,NA
6,101524,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
7,101525,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
8,101526,Wired Headphones,1,"[11.99, 26]",NA,NA
9,101527,Vareebadd Phone,1,"[400, 3]",NA,NA
10,101528,Wired Headphones,1,"[11.99, 26]",NA,NA
11,101529,Wired Headphones,1,"[11.99, 26]",NA,NA
12,101530,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
13,101531,20in Monitor,1,"[109.99, 6]",NA,NA
14,101532,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
15,101533,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
16,101534,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
17,101535,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
18,101536,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
19,101537,Flatscreen TV,1,"[300, 7]",NA,NA
20,101538,iPhone,1,"[700, 10]",NA,NA
21,101539,Bose SoundSport Headphones,1,"[99.99, 19]",NA,NA
22,101540,Wired Headphones,1,"[11.99, 26]",NA,NA
23,101541,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
24,101542,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
25,101543,Bose SoundSport Headphones,1,"[99.99, 19]",NA,NA
26,101544,34in Ultrawide Monitor,1,"[379.99, 9]",NA,NA
27,101545,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
28,101546,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
29,101547,Apple Airpods Headphones,1,"[150, 22]",NA,NA
30,101548,20in Monitor,1,"[109.99, 6]",NA,NA
31,101549,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
32,101550,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
33,101551,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
34,101552,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
35,101553,Bose SoundSport Headphones,1,"[99.99, 19]",NA,NA
36,101554,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
37,101555,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
38,101556,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
39,101557,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
40,101558,Bose SoundSport Headphones,1,"[99.99, 19]",NA,NA
41,101559,Apple Airpods Headphones,1,"[150, 22]",NA,NA
42,101560,Bose SoundSport Headphones,1,"[99.99, 19]",NA,NA
43,101561,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
44,101562,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
45,101563,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
46,101564,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
47,101565,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
48,101566,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
49,101567,Wired Headphones,1,"[11.99, 26]",NA,NA
50,101568,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
51,101569,Google Phone,1,"[600, 8]",NA,NA
52,101570,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
53,101571,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
54,101572,Wired Headphones,1,"[11.99, 26]",NA,NA
55,101573,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
56,101574,Wired Headphones,1,"[11.99, 26]",NA,NA
57,101575,Bose SoundSport Headphones,1,"[99.99, 19]",NA,NA
58,101576,iPhone,1,"[700, 10]",NA,NA
59,101577,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
60,101578,Bose SoundSport Headphones,1,"[99.99, 19]",NA,NA
61,101579,Wired Headphones,1,"[11.99, 26]",NA,NA
62,101580,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
63,101581,Macbook Pro Laptop,1,"[1700, 7]",NA,NA
64,101582,Google Phone,1,"[600, 8]",NA,NA
65,101583,ThinkPad Laptop,1,"[999.99, 6]",NA,NA
66,101584,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
67,101585,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
68,101586,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
69,101587,Apple Airpods Headphones,1,"[150, 22]",NA,NA
70,101588,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
71,101589,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
72,101590,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
73,101591,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
74,101592,34in Ultrawide Monitor,1,"[379.99, 9]",NA,NA
75,101593,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
76,101594,Google Phone,1,"[600, 8]",NA,NA
77,101595,Bose SoundSport Headphones,1,"[99.99, 19]",NA,NA
78,101596,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
79,101597,Wired Headphones,1,"[11.99, 26]",NA,NA
80,101598,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
81,101599,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
82,101600,Bose SoundSport Headphones,1,"[99.99, 19]",NA,NA
83,101601,Wired Headphones,1,"[11.99, 26]",NA,NA
84,101602,27in FHD Monitor,1,"[149.99, 11]",NA,NA
85,101603,Wired Headphones,1,"[11.99, 26]",NA,NA
86,101604,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
87,101605,27in 4K Gaming Monitor,1,"[389.99, 9]",NA,NA
88,101606,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
89,101607,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
90,101608,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
91,101609,Wired Headphones,1,"[11.99, 26]",NA,NA
