,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
0,146198,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
1,146199,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
2,146200,Flatscreen TV,1,"[300, 7]",NA,NA
3,146201,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
4,146202,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
5,146203,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
6,146204,Vareebadd Phone,1,"[400, 3]",NA,NA
7,146205,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
8,146206,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
9,146207,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
10,146208,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
11,146209,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
12,146210,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
13,146211,27in 4K Gaming Monitor,1,"[389.99, 9]",NA,NA
14,146212,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
15,146213,20in Monitor,1,"[109.99, 6]",NA,NA
16,146214,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
17,146215,34in Ultrawide Monitor,1,"[379.99, 9]",NA,NA
18,146216,Flatscreen TV,1,"[300, 7]",NA,NA
19,146217,Apple Airpods Headphones,1,"[150, 22]",NA,NA
20,146218,Wired Headphones,1,"[11.99, 26]",NA,NA
21,146219,Wired Headphones,1,"[11.99, 26]",NA,NA
22,146220,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
23,146221,27in FHD Monitor,1,"[149.99, 11]",NA,NA
24,146222,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
25,146223,20in Monitor,1,"[109.99, 6]",NA,NA
26,146224,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
27,146225,Bose SoundSport Headphones,1,"[99.99, 19]",NA,NA
28,146226,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
29,146227,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
30,146228,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
31,146229,Flatscreen TV,1,"[300, 7]",NA,NA
32,146230,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
33,146231,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
34,146232,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
35,146233,Apple Airpods Headphones,1,"[150, 22]",NA,NA
36,146234,Flatscreen TV,1,"[300, 7]",NA,NA
37,146235,Google Phone,1,"[600, 8]",NA,NA
38,146236,Bose SoundSport Headphones,1,"[99.99, 19]",NA,NA
39,146237,ThinkPad Laptop,1,"[999.99, 6]",NA,NA
40,146238,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
41,146239,Google Phone,1,"[600, 8]",NA,NA
42,146240,Wired Headphones,1,"[11.99, 26]",NA,NA
43,146241,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
44,146242,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
45,146243,34in Ultrawide Monitor,1,"[379.99, 9]",NA,NA
46,146244,34in Ultrawide Monitor,1,"[379.99, 9]",NA,NA
47,146245,Bose SoundSport Headphones,1,"[99.99, 19]",NA,NA
48,146246,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
49,146247,Apple Airpods Headphones,1,"[150, 22]",NA,NA
50,146248,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
51,146249,Wired Headphones,1,"[11.99, 26]",NA,NA
52,146250,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
53,146251,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
54,146252,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
55,146253,LG Washing Machine,1,"[600.0, 1]",NA,NA
56,146254,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
57,146255,Bose SoundSport Headphones,1,"[99.99, 19]",NA,NA
58,146256,27in FHD Monitor,1,"[149.99, 11]",NA,NA
59,146257,27in FHD Monitor,1,"[149.99, 11]",NA,NA
60,146258,LG Dryer,1,"[600.0, 1]",NA,NA
