,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
0,26327,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
1,26328,Flatscreen TV,1,"[300, 7]",NA,NA
2,26329,Macbook Pro Laptop,1,"[1700, 7]",NA,NA
3,26330,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
4,26331,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
5,26332,Wired Headphones,1,"[11.99, 26]",NA,NA
6,26333,34in Ultrawide Monitor,1,"[379.99, 9]",NA,NA
7,26334,Bose SoundSport Headphones,1,"[99.99, 19]",NA,NA
8,26335,27in FHD Monitor,1,"[149.99, 11]",NA,NA
9,26336,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
10,26337,Apple Airpods Headphones,1,"[150, 22]",NA,NA
11,26338,Wired Headphones,1,"[11.99, 26]",NA,NA
12,26339,Macbook Pro Laptop,1,"[1700, 7]",NA,NA
13,26340,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
14,26341,ThinkPad Laptop,1,"[999.99, 6]",NA,NA
15,26342,iPhone,1,"[700, 10]",NA,NA
16,26343,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
17,26344,Google Phone,1,"[600, 8]",NA,NA
18,26345,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
19,26346,iPhone,1,"[700, 10]",NA,NA
20,26347,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
21,26348,Apple Airpods Headphones,1,"[150, 22]",NA,NA
22,26349,Bose SoundSport Headphones,1,"[99.99, 19]",NA,NA
23,26350,Google Phone,1,"[600, 8]",NA,NA
24,26351,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
25,26352,Flatscreen TV,1,"[300, 7]",NA,NA
26,26353,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
27,26354,27in FHD Monitor,1,"[149.99, 11]",NA,NA
28,26355,27in FHD Monitor,1,"[149.99, 11]",NA,NA
29,26356,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
30,26357,Apple Airpods Headphones,1,"[150, 22]",NA,NA
31,26358,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
32,26359,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
33,26360,Apple Airpods Headphones,1,"[150, 22]",NA,NA
34,26361,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
35,26362,Apple Airpods Headphones,1,"[150, 22]",NA,NA
36,26363,27in FHD Monitor,1,"[149.99, 11]",NA,NA
37,26364,iPhone,1,"[700, 10]",NA,NA
38,26365,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
39,26366,Apple Airpods Headphones,1,"[150, 22]",NA,NA
40,26367,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
41,26368,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
42,26369,AAA Batteries (4-pack),1,"[2.99, 30]",NA,NA
43,26370,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
44,26371,Apple Airpods Headphones,1,"[150, 22]",NA,NA
45,26372,Wired Headphones,1,"[11.99, 26]",NA,NA
46,26373,Lightning Charging Cable,1,"[14.95, 30]",NA,NA
47,26374,27in FHD Monitor,1,"[149.99, 11]",NA,NA
48,26375,iPhone,1,"[700, 10]",NA,NA
49,26376,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
50,26377,27in FHD Monitor,1,"[149.99, 11]",NA,NA
51,26378,USB-C Charging Cable,1,"[11.95, 30]",NA,NA
52,26379,iPhone,1,"[700, 10]",NA,NA
53,26380,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
54,26381,Google Phone,1,"[600, 8]",NA,NA
55,26382,Bose SoundSport Headphones,1,"[99.99, 19]",NA,NA
56,26383,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
57,26384,Apple Airpods Headphones,1,"[150, 22]",NA,NA
58,26385,Flatscreen TV,1,"[300, 7]",NA,NA
59,26386,Bose SoundSport Headphones,1,"[99.99, 19]",NA,NA
60,26387,20in Monitor,1,"[109.99, 6]",NA,NA
61,26388,Wired Headphones,1,"[11.99, 26]",NA,NA
62,26389,AA Batteries (4-pack),1,"[3.84, 30]",NA,NA
